timestamp,t_bmp,presion_hpa,altitud,t_dht,humedad
841523221,20.5,1008.23,41.71,22.2,66.7
841523222,20.5,1008.22,42.13,22.2,66.7
841523282,20.5,1008.27,41.3,22.2,66.7
841523282,20.5,1008.29,41.71,22.2,66.6
841523282,20.5,1008.16,42.38,22.2,66.6
841523283,20.5,1008.24,42.05,22.0,66.4
841523283,20.5,1008.26,41.96,22.0,66.4
841523284,20.5,1008.26,41.55,22.0,66.4
841523285,20.5,1008.26,41.46,22.0,66.4
841523286,20.5,1008.25,41.38,22.0,66.4
841523287,20.5,1008.2,42.13,22.0,66.4
841523288,20.5,1008.24,41.05,21.9,66.5
841523289,20.5,1008.23,41.38,21.9,66.5
841523290,20.5,1008.24,40.79,21.9,66.5
841523291,20.5,1008.25,41.96,21.9,66.5
841523292,20.5,1008.25,41.63,21.9,66.5
841523293,20.5,1008.24,42.13,21.9,66.5
841523294,20.5,1008.24,42.3,21.9,66.5
841523295,20.5,1008.21,41.8,21.9,66.5
841523296,20.5,1008.22,42.05,21.9,66.5
841523297,20.5,1008.25,42.22,21.9,66.6
841523298,20.5,1008.15,43.22,21.9,66.6
841523299,20.5,1008.16,42.22,21.9,66.6
841523300,20.5,1008.28,41.96,21.9,66.6
841523301,20.5,1008.25,41.21,21.9,66.6
841523302,20.5,1008.26,41.05,21.9,66.6
841523303,20.5,1008.25,41.71,21.9,66.6
841523304,20.5,1008.18,42.22,21.8,66.7
841523305,20.5,1008.17,41.8,21.8,66.7
841523306,20.5,1008.24,41.96,21.8,66.7
841523307,20.5,1008.23,41.88,21.8,66.7
841523308,20.5,1008.18,41.88,21.8,66.7
841523309,20.5,1008.23,41.63,21.8,66.7
841523310,20.5,1008.27,42.13,21.8,66.7
841523311,20.5,1008.29,42.05,21.8,66.8
841523312,20.5,1008.3,41.71,21.8,66.8
841523313,20.5,1008.28,41.88,21.8,66.8
841523314,20.5,1008.22,41.46,21.8,66.8
841523315,20.5,1008.19,41.63,21.8,66.8
841523316,20.5,1008.24,42.38,21.8,66.8
841523317,20.5,1008.27,42.3,21.8,66.8
841523318,20.5,1008.19,42.3,21.7,66.9
841523319,20.5,1008.21,41.88,21.7,66.9
841523320,20.5,1008.22,41.63,21.7,66.9
841523321,20.5,1008.14,41.38,21.7,66.9
841523322,20.6,1008.23,41.96,21.7,67.0
841523323,20.6,1008.24,40.88,21.7,67.0
841523324,20.6,1008.31,42.55,21.7,67.0
841523325,20.6,1008.26,41.21,21.7,67.1
841523326,20.6,1008.22,42.88,21.7,67.1
841523327,20.6,1008.21,41.38,21.7,67.1
841523328,20.6,1008.21,41.38,21.7,67.1
841523329,20.6,1008.32,41.05,21.7,67.1
841523330,20.6,1008.25,40.96,21.7,67.1
841523331,20.6,1008.22,41.13,21.7,67.1
841523332,20.6,1008.26,41.96,21.7,67.2
841523333,20.6,1008.34,41.63,21.7,67.2
841523334,20.6,1008.2,42.05,21.7,67.3
841523335,20.6,1008.21,41.8,21.7,67.3
841523336,20.6,1008.25,41.38,21.7,67.3
841523337,20.6,1008.18,41.13,21.7,67.3
841523338,20.6,1008.23,42.8,21.7,67.3
841523339,20.6,1008.3,42.72,21.7,67.3
841523340,20.6,1008.21,41.3,21.7,67.3
841523341,20.6,1008.22,41.21,21.6,67.4
841523342,20.6,1008.31,41.05,21.6,67.4
841523402,20.6,1008.25,41.21,21.6,67.4
841523402,20.6,1008.28,41.88,21.6,67.4
841523402,20.6,1008.22,41.13,21.7,67.5
841523403,20.7,1008.27,41.96,21.6,67.9
841523403,20.7,1008.24,41.21,21.6,67.9
841523404,20.7,1008.28,41.46,21.6,67.9
841523405,20.7,1008.21,41.8,21.6,67.9
841523406,20.7,1008.24,41.05,21.6,67.9
841523407,20.7,1008.31,41.63,21.6,67.9
841523408,20.7,1008.35,41.38,21.6,67.9
841523409,20.7,1008.28,40.79,21.6,67.9
841523410,20.7,1008.36,40.71,21.6,67.9
841523411,20.7,1008.36,41.46,21.6,67.9
841523412,20.7,1008.24,41.55,21.6,67.9
841523413,20.7,1008.3,40.88,21.6,67.9
841523414,20.7,1008.17,42.38,21.6,67.8
841523415,20.7,1008.29,41.71,21.6,67.8
841523416,20.7,1008.28,41.38,21.6,67.9
841523417,20.7,1008.26,41.96,21.6,67.9
841523418,20.7,1008.26,41.96,21.6,67.8
841523419,20.7,1008.29,42.05,21.6,67.8
841523420,20.7,1008.29,41.96,21.6,67.8
841523421,20.7,1008.18,42.13,21.5,67.9
841523422,20.7,1008.19,40.88,21.5,67.9
841523423,20.7,1008.23,40.96,21.5,67.9
841523424,20.7,1008.23,42.38,21.5,67.9
841523425,20.7,1008.31,41.3,21.6,67.9
841523426,20.7,1008.15,42.55,21.6,67.9
841523427,20.7,1008.23,42.05,21.6,67.9
841523428,20.7,1008.3,41.63,21.5,67.9
841523429,20.7,1008.39,40.88,21.5,67.9
841523430,20.7,1008.31,41.05,21.5,67.9
841523431,20.7,1008.26,40.96,21.5,67.9
841523432,20.7,1008.28,41.05,21.5,67.9
841523433,20.7,1008.22,41.8,21.5,67.9
841523434,20.7,1008.26,40.79,21.5,67.9
841523435,20.7,1008.28,41.38,21.5,67.9
841523436,20.7,1008.34,41.55,21.5,67.9
841523437,20.7,1008.31,41.38,21.5,67.9
841523438,20.7,1008.23,41.13,21.5,67.9
841523439,20.7,1008.23,40.96,21.5,68.0
841523440,20.7,1008.27,41.38,21.5,68.0
841523441,20.7,1008.26,41.96,21.5,68.0
841523442,20.7,1008.32,40.54,21.5,68.0
841523443,20.7,1008.26,41.3,21.5,68.0
841523444,20.7,1008.3,40.96,21.5,68.0
841523445,20.7,1008.25,41.05,21.5,68.0
841523446,20.7,1008.3,41.38,21.5,68.0
841523447,20.7,1008.16,42.55,21.5,68.0
841523448,20.7,1008.37,41.63,21.5,68.0
841523449,20.7,1008.28,41.13,21.5,68.0
841523450,20.7,1008.33,41.38,21.5,68.0
841523451,20.7,1008.23,41.21,21.5,68.0
841523452,20.7,1008.25,41.3,21.5,68.0
841523453,20.7,1008.34,40.88,21.5,68.0
841523454,20.7,1008.31,41.21,21.5,68.0
841523455,20.7,1008.33,41.55,21.5,68.1
841523456,20.7,1008.32,40.96,21.5,68.1
841523457,20.7,1008.26,42.13,21.5,68.1
841523458,20.7,1008.36,41.55,21.5,68.1
841523459,20.7,1008.31,41.8,21.5,68.1
841523460,20.7,1008.3,41.71,21.5,68.1
841523461,20.7,1008.31,41.13,21.5,68.1
841523462,20.7,1008.2,41.8,21.5,68.2
841523463,20.7,1008.2,41.96,21.5,68.2
841523464,20.7,1008.25,40.79,21.5,68.2
841523465,20.7,1008.28,41.05,21.5,68.2
841523466,20.7,1008.23,41.3,21.5,68.3
841523468,20.7,1008.29,41.3,21.5,68.3
841523468,20.7,1008.31,41.13,21.5,68.3
841523469,20.7,1008.35,41.13,21.5,68.3
841523470,20.7,1008.25,41.21,21.5,68.3
841523471,20.7,1008.21,41.21,21.5,68.3
841523472,20.7,1008.38,41.63,21.5,68.3
841523473,20.7,1008.26,41.55,21.5,68.3
841523474,20.7,1008.36,41.55,21.5,68.3
841523475,20.7,1008.31,41.46,21.5,68.3
841523477,20.7,1008.31,41.63,21.6,68.3
841523477,20.7,1008.33,41.46,21.6,68.3
841523478,20.7,1008.33,41.21,21.6,68.3
841523479,20.7,1008.3,41.63,21.6,68.3
841523480,20.7,1008.25,41.38,21.6,68.2
841523481,20.7,1008.25,41.21,21.6,68.2
841523482,20.7,1008.26,41.46,21.6,68.2
841523483,20.7,1008.25,40.79,21.6,68.2
841523484,20.7,1008.29,42.47,21.6,68.2
841523486,20.7,1008.27,40.88,21.6,68.2
841523486,20.7,1008.29,41.46,21.6,68.2
841523487,20.7,1008.28,41.21,21.6,68.1
841523488,20.7,1008.24,41.21,21.6,68.1
841523489,20.7,1008.15,41.96,21.6,68.1
841523490,20.7,1008.27,41.3,21.6,68.1
841523491,20.8,1008.21,41.3,21.6,68.1
841523492,20.7,1008.25,41.96,21.6,68.1
841523493,20.8,1008.33,41.3,21.6,68.1
841523495,20.8,1008.27,41.46,21.6,68.1
841523495,20.7,1008.33,40.88,21.6,68.1
841523496,20.8,1008.36,40.63,21.6,68.1
841523497,20.7,1008.29,41.55,21.6,68.1
841523498,20.7,1008.28,40.63,21.6,68.1
841523499,20.7,1008.23,41.3,21.6,68.1
841523500,20.7,1008.2,41.55,21.6,68.1
841523501,20.7,1008.26,41.13,21.6,68.0
841523502,20.7,1008.15,42.72,21.6,68.0
841523504,20.7,1008.25,41.63,21.6,68.0
841523505,20.7,1008.28,41.38,21.6,68.0
841523505,20.7,1008.23,41.13,21.6,67.9
841523507,20.8,1008.24,40.96,21.6,67.9
841523507,20.7,1008.27,40.96,21.6,67.9
841523508,20.8,1008.24,41.13,21.6,67.9
841523509,20.7,1008.28,42.05,21.6,67.9
841523510,20.8,1008.26,41.13,21.6,67.9
841523511,20.8,1008.26,40.96,21.6,67.9
841523512,20.7,1008.29,41.38,21.6,67.9
841523513,20.8,1008.28,41.55,21.6,67.9
841523515,20.8,1008.23,41.38,21.6,67.8
841523516,20.8,1008.17,41.3,21.6,67.8
841523516,20.8,1008.2,40.88,21.6,67.8
841523517,20.8,1008.22,41.21,21.6,67.8
841523518,20.8,1008.34,40.96,21.6,67.8
841523519,20.8,1008.3,41.63,21.6,67.8
841523520,20.8,1008.37,41.21,21.6,67.8
841523521,20.8,1008.26,40.96,21.6,67.8
841523522,20.8,1008.3,41.13,21.6,67.8
841523523,20.8,1008.34,40.96,21.6,67.8
841523524,20.8,1008.3,41.3,21.6,67.8
841523525,20.8,1008.29,40.79,21.6,67.8
841523526,20.8,1008.29,40.71,21.6,67.8
841523527,20.8,1008.27,41.46,21.6,67.8
841523528,20.7,1008.36,41.21,21.6,67.8
841523529,20.8,1008.31,41.46,21.6,67.8
841523530,20.8,1008.34,40.88,21.6,67.8
841523531,20.8,1008.3,41.13,21.6,67.8
841523532,20.8,1008.28,40.88,21.6,67.8
841523533,20.8,1008.24,41.8,21.6,67.8
841523535,20.8,1008.22,41.63,21.6,67.8
841523536,20.8,1008.25,41.8,21.6,67.8
841523536,20.8,1008.21,41.8,21.6,67.8
841523537,20.8,1008.32,41.21,21.6,67.8
841523538,20.8,1008.25,40.79,21.6,67.8
841523539,20.8,1008.28,41.63,21.6,67.8
841523541,20.8,1008.32,41.71,21.6,67.8
841523542,20.8,1008.26,41.3,21.6,67.8
841523542,20.8,1008.24,41.8,21.6,67.9
841523543,20.8,1008.33,41.05,21.6,67.9
841523545,20.8,1008.26,41.21,21.6,67.9
841523546,20.8,1008.32,40.71,21.6,67.9
841523546,20.8,1008.32,41.05,21.6,67.8
841523547,20.8,1008.24,41.46,21.6,67.8
841523548,20.8,1008.35,40.71,21.6,67.8
841523550,20.8,1008.32,40.21,21.6,67.8
841523551,20.8,1008.36,41.3,21.6,67.8
841523551,20.8,1008.32,41.55,21.6,67.8
841523552,20.8,1008.31,41.38,21.6,67.8
841523554,20.8,1008.26,41.3,21.6,67.8
841523555,20.8,1008.39,40.71,21.6,67.8
841523555,20.8,1008.32,41.05,21.6,67.8
841523556,20.8,1008.25,40.96,21.6,67.8
841523557,20.8,1008.36,39.96,21.6,67.8
841523559,20.8,1008.39,41.21,21.6,67.8
841523560,20.8,1008.31,41.13,21.6,67.8
841523560,20.8,1008.28,42.05,21.6,67.8
841523561,20.8,1008.33,40.96,21.6,67.8
841523562,20.8,1008.32,40.21,21.6,67.8
841523563,20.8,1008.36,40.79,21.6,67.8
841523565,20.8,1008.3,40.79,21.6,67.8
841523566,20.8,1008.3,41.05,21.7,67.8
841523567,20.8,1008.35,41.46,21.7,67.8
841523567,20.8,1008.28,40.88,21.7,67.7
841523568,20.8,1008.34,40.13,21.7,67.7
841523569,20.8,1008.34,39.87,21.7,67.7
841523571,20.8,1008.37,41.55,21.7,67.7
841523571,20.8,1008.32,41.05,21.7,67.7
841523572,20.8,1008.35,40.96,21.7,67.7
841523573,20.8,1008.34,40.63,21.7,67.7
841523574,20.8,1008.35,40.63,21.7,67.7
841523575,20.8,1008.37,40.71,21.7,67.7
841523576,20.8,1008.35,40.79,21.7,67.7
841523577,20.8,1008.19,41.13,21.7,67.7
841523579,20.8,1008.28,41.05,21.7,67.7
841523580,20.8,1008.32,40.71,21.7,67.7
841523581,20.8,1008.29,40.21,21.7,67.7
841523581,20.8,1008.32,40.54,21.7,67.6
841523582,20.8,1008.33,41.55,21.7,67.6
841523583,20.8,1008.44,40.71,21.7,67.7
841523584,20.8,1008.37,40.71,21.7,67.7
841523585,20.8,1008.3,41.8,21.7,67.7
841523586,20.8,1008.34,41.05,21.7,67.7
841523587,20.9,1008.34,41.21,21.7,67.7
841523589,20.8,1008.38,41.13,21.7,67.7
841523590,20.9,1008.35,40.96,21.7,67.7
841523591,20.8,1008.24,41.38,21.7,67.7
841523591,20.9,1008.32,41.21,21.7,67.7
841523592,20.8,1008.25,41.05,21.7,67.7
841523594,20.8,1008.31,41.13,21.7,67.7
841523595,20.8,1008.36,41.8,21.7,67.6
841523596,20.8,1008.34,40.96,21.7,67.6
841523596,20.8,1008.37,41.13,21.7,67.6
841523597,20.8,1008.32,40.71,21.7,67.6
841523598,20.8,1008.3,40.96,21.7,67.6
841523599,20.8,1008.35,40.79,21.7,67.7
841523600,20.8,1008.31,40.79,21.7,67.7
841523601,20.8,1008.33,40.79,21.7,67.6
841523602,20.8,1008.27,41.46,21.7,67.6
841523603,20.8,1008.31,41.05,21.7,67.6
841523604,20.8,1008.26,40.54,21.7,67.6
841523605,20.8,1008.38,40.54,21.7,67.6
841523606,20.8,1008.38,39.79,21.7,67.6
841523607,20.8,1008.43,40.04,21.7,67.6
841523608,20.8,1008.44,41.21,21.7,67.6
